capture_date,GMT_capture_time,Country,Statements of Support,Threshold,Percentage
2025-07-07,11:19:45,Greece,18789,14805.0,126.91
2025-07-07,11:19:45,Hungary,23817,14805.0,160.87
2025-07-07,11:19:45,Ireland,32945,9165.0,359.47
2025-07-07,11:19:45,Italy,68022,53580.0,126.95
2025-07-07,11:19:45,Latvia,7370,5640.0,130.67
2025-07-07,11:19:45,Lithuania,13409,7755.0,172.91
2025-07-07,11:19:45,Luxembourg,2519,4230.0,59.55
2025-07-07,11:19:45,Malta,1881,4230.0,44.47
2025-07-07,11:19:45,Netherlands,81034,20445.0,396.35
2025-07-07,11:19:45,Poland,134654,36660.0,367.3
2025-07-07,11:19:45,Portugal,28986,14805.0,195.79
2025-07-07,11:19:45,Romania,34005,23265.0,146.16
2025-07-07,11:19:45,Slovakia,17467,9870.0,176.97
2025-07-07,11:19:45,Slovenia,6398,5640.0,113.44
2025-07-07,11:19:45,Spain,107788,41595.0,259.14
2025-07-07,11:19:45,Sweden,64000,14805.0,432.29
2025-07-07,11:19:45,Total number of signatories,1224939,,
2025-07-06,14:54:46,Austria,19191,13395.0,143.27
2025-07-06,14:54:46,Belgium,27096,14805.0,183.02
2025-07-06,14:54:46,Bulgaria,12772,11985.0,106.57
2025-07-06,14:54:46,Croatia,13012,8460.0,153.81
2025-07-06,14:54:46,Cyprus,1962,4230.0,46.38
2025-07-06,14:54:46,Czechia,21580,14805.0,145.76
2025-07-06,14:54:46,Denmark,33287,9870.0,337.25
2025-07-06,14:54:46,Estonia,8547,4935.0,173.19
2025-07-06,14:54:46,Finland,52234,9870.0,529.22
2025-07-06,14:54:46,France,125916,55695.0,226.08
2025-07-06,14:54:46,Germany,254311,67680.0,375.76
2025-07-06,14:54:46,Greece,18380,14805.0,124.15
2025-07-06,14:54:46,Hungary,23459,14805.0,158.45
2025-07-06,14:54:46,Ireland,32448,9165.0,354.04
2025-07-06,14:54:46,Italy,66920,53580.0,124.9
2025-07-06,14:54:46,Latvia,7263,5640.0,128.78
2025-07-06,14:54:46,Lithuania,13247,7755.0,170.82
2025-07-06,14:54:46,Luxembourg,2482,4230.0,58.68
2025-07-06,14:54:46,Malta,1846,4230.0,43.64
2025-07-06,14:54:46,Netherlands,79666,20445.0,389.66
2025-07-06,14:54:46,Poland,132354,36660.0,361.03
2025-07-06,14:54:46,Portugal,28527,14805.0,192.68
2025-07-06,14:54:46,Romania,33470,23265.0,143.86
2025-07-06,14:54:46,Slovakia,17036,9870.0,172.6
2025-07-06,14:54:46,Slovenia,6307,5640.0,111.83
2025-07-06,14:54:46,Spain,105595,41595.0,253.86
2025-07-06,14:54:46,Sweden,62982,14805.0,425.41
2025-07-06,14:54:46,Total number of signatories,1201890,,
2025-07-04,17:15:28,Austria,18478,13395.0,137.95
2025-07-04,17:15:28,Belgium,26004,14805.0,175.64
2025-07-04,17:15:28,Bulgaria,12236,11985.0,102.09
2025-07-04,17:15:28,Croatia,12527,8460.0,148.07
2025-07-04,17:15:28,Cyprus,1890,4230.0,44.68
2025-07-04,17:15:28,Czechia,19706,14805.0,133.1
2025-07-04,17:15:28,Denmark,31870,9870.0,322.9
